rooms,B2,B3,B4,B4,B5,B6,G1,G2,G3,G4,G5,G6,F1,F2,F3,F4,F5,F6,S1,S2,S3,S4,S5,S6
26-11-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
26-11-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
27-11-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
27-11-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
28-11-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
28-11-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
29-11-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
29-11-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
30-11-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
30-11-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
01-12-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
01-12-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
02-12-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
02-12-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
03-12-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
03-12-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
04-12-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
04-12-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
05-12-2018 (M),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
05-12-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
06-12-2018 (M),Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
06-12-2018 (E),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
07-12-2018 (M),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
07-12-2018 (E),Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y
08-12-2018 (M),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
08-12-2018 (E),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
